company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,id
/company/validity,Validity Sensors,enterprise,USA,CA,SF Bay,San Jose,/company/synaptics,Synaptics,hardware,USA,CA,SF Bay,San Jose,10/9/13,2013-10,2013-Q4,2013.0,255000000.0,USD,6885
/company/valipharma,ValiPharma,biotech,GBR,,London,London,/company/valirx,ValiRX,biotech,GBR,,London,London,7/14/08,2008-07,2008-Q3,2008.0,725000.0,USD,6886
/company/vallent-corporation,Vallent Corporation,,USA,WA,Seattle,Bellevue,/company/ibm,IBM,software,USA,NY,New York,Armonk,2/14/07,2007-02,2007-Q1,2007.0,,USD,6887
/company/valor-computerized-systems,Valor Computerized Systems,software,,,unknown,,/company/mentor-graphics,Mentor Graphics,software,,,unknown,,3/18/10,2010-03,2010-Q1,2010.0,50000000.0,USD,6888
/company/valpey-fisher,Valpey Fisher,,,,unknown,,/company/cts-corporation,CTS Corporation,,,,unknown,,11/17/11,2011-11,2011-Q4,2011.0,,USD,6889
/company/value-team,Value Team,,,,unknown,,/company/ntt-data,NTT Data,software,JPN,,Tokyo,Tokyo,5/30/11,2011-05,2011-Q2,2011.0,290000000.0,EUR,6890
/company/values-of-n,Values of n,software,USA,OR,Portland,Portland,/company/twitter,Twitter,social,USA,CA,SF Bay,San Francisco,11/24/08,2008-11,2008-Q4,2008.0,,USD,6891
/company/vana-workforce,Vana Workforce,software,CAN,,Burlington,Burlington,/company/financialforce-com,FinancialForce.com,software,USA,CA,SF Bay,San Francisco,11/18/13,2013-11,2013-Q4,2013.0,,USD,6892
/company/vanager,Vanager,,,,unknown,,/company/webfusion,Webfusion,network_hosting,USA,DC,Washington DC,"Washington, DC",1/1/10,2010-01,2010-Q1,2010.0,,USD,6893
/company/vanco-direct-usa,Vanco Direct USA,public_relations,USA,IL,Chicago,Chicago,/company/global-capacity-group,Global Capacity,network_hosting,USA,IL,Chicago,Chicago,11/21/08,2008-11,2008-Q4,2008.0,15230000.0,USD,6894
/company/vandaele-holdings,Vandaele Holdings,,,,unknown,,/company/hi7e,HI7E,,USA,FL,Palm Beach,West Palm Beach,1/1/11,2011-01,2011-Q1,2011.0,,USD,6895
/company/vangent,Vangent,consulting,USA,VA,Washington DC,Arlington,/company/general-dynamics,General Dynamics,transportation,USA,VA,Washington DC,Falls Church,8/16/11,2011-08,2011-Q3,2011.0,960000000.0,USD,6896
/company/vanguard-health-systems,Vanguard Health Systems,,USA,TN,Nashville,Nashville,/company/tenet-healthcare-corporation,Tenet Healthcare Corporation,biotech,USA,TX,Dallas,Dallas,6/24/13,2013-06,2013-Q2,2013.0,1800000000.0,USD,6897
/company/vanity-fair,Vanity Fair,,,,unknown,,/company/fruit-of-the-loom,Fruit of the Loom,ecommerce,USA,KY,Bowling Green,Bowling Green,1/23/07,2007-01,2007-Q1,2007.0,350000000.0,USD,6898
/company/vantagenet-inc,Vantagenet,web,,,unknown,,/company/about-com,About.com,web,USA,,United States - Other,,6/1/99,1999-06,1999-Q2,1999.0,550000.0,USD,6899
/company/vaporfection-international,Vaporfection International,hardware,USA,FL,Palm Beach,Boca Raton,/company/medbox,Medbox,medical,USA,CA,West Hills,West Hills,3/25/13,2013-03,2013-Q1,2013.0,,USD,6900
/company/vapps,Vapps,enterprise,USA,NJ,Hoboken,Hoboken,/company/citrix-systems,Citrix Systems,software,USA,FL,Fort Lauderdale,Fort Lauderdale,11/18/08,2008-11,2008-Q4,2008.0,26600000.0,USD,6901
/company/vara-software,Vara Software,,,,unknown,,/company/telestream,Telestream,software,USA,CA,Nevada City,Nevada City,8/1/08,2008-08,2008-Q3,2008.0,,USD,6902
/company/varcompliance,VARcompliance,,USA,MA,Boston,Boston,/company/netformx,Netformx,enterprise,USA,CA,SF Bay,Santa Clara,2/1/13,2013-02,2013-Q1,2013.0,,USD,6903
/company/varel-international,Varel International,cleantech,USA,TX,Dallas,Carrollton,/company/sandvik,Sandvik,enterprise,SWE,,Stockholm,Stockholm,1/7/14,2014-01,2014-Q1,2014.0,740000000.0,USD,6904
/company/varian,Varian,enterprise,USA,CA,SF Bay,Palo Alto,/company/agilent,Agilent Technologies,biotech,USA,CA,SF Bay,Santa Clara,7/27/09,2009-07,2009-Q3,2009.0,1500000000.0,USD,6905
/company/varian-semiconductor-equipment-associates,Varian Semiconductor Equipment Associates,semiconductor,USA,MA,Boston,Gloucester,/company/scoutlabs,Scout Labs,enterprise,USA,CA,SF Bay,San Francisco,5/4/11,2011-05,2011-Q2,2011.0,4900000000.0,USD,6906
/company/varicent-software,Varicent Software,enterprise,CAN,,Toronto,"Toronto, ON",/company/ibm,IBM,software,USA,NY,New York,Armonk,4/13/12,2012-04,2012-Q2,2012.0,,USD,6907
/company/various,Various,web,USA,FL,Palm Beach,Boca Raton,/company/friendfinder-networks,FriendFinder Networks,games_video,MYS,FL,Palm Beach,Boca Raton,12/11/07,2007-12,2007-Q4,2007.0,500000000.0,USD,6908
/company/varolii,Varolii,software,USA,WA,Seattle,Seattle,/company/lifelock,LifeLock,security,USA,AZ,Phoenix,Tempe,8/20/13,2013-08,2013-Q3,2013.0,42600000.0,USD,6909
/company/vasonova,VasoNova,medical,USA,CA,SF Bay,Sunnyvale,/company/teleflex,Teleflex,,USA,PA,Philadelphia,Limerick,1/10/11,2011-01,2011-Q1,2011.0,,USD,6910
/company/vatera-hu,Vatera.hu,,,,unknown,,/company/mail-ru,Mail.Ru Group,web,RUS,,Moscow,Moscow,10/5/08,2008-10,2008-Q4,2008.0,9000000.0,USD,6911
/company/vativ-technologies,Vativ Technologies,semiconductor,USA,CA,San Diego,San Diego,/company/entropic-communications,Entropic Communications,semiconductor,USA,CA,San Diego,San Diego,4/4/08,2008-04,2008-Q2,2008.0,43780000.0,USD,6912
/company/vaultus-mobile,Vaultus Mobile,mobile,USA,MA,Boston,Boston,/company/antenna-software,Antenna Software,software,USA,NJ,New York,Jersey City,4/9/10,2010-04,2010-Q2,2010.0,,USD,6913
/company/vauto,vAuto,software,USA,IL,Chicago,Oak Brook,/company/autotrader,AutoTrader.com,web,USA,,Atlanta,"Atlanta,",10/19/10,2010-10,2010-Q4,2010.0,,USD,6914
